"subject.id","ReadEthicsArticle","Recommends.Ai.Adoption"
1,1,1
2,0,0
3,0,0
4,0,0
5,1,0
6,1,0
7,1,0
8,1,0
9,1,1
10,1,1
11,0,0
12,0,0
13,1,0
14,0,0
15,1,1
16,1,1
17,0,1
18,0,1
19,0,0
20,1,1
21,1,1
22,0,0
23,1,1
24,1,1
25,0,0
26,0,1
27,0,0
28,1,1
29,1,1
30,0,1
31,0,0
32,1,1
33,0,0
34,0,1
35,0,0
36,1,1
37,0,1
38,1,0
39,1,1
40,0,1
41,1,1
42,0,0
43,0,0
44,0,1
45,0,0
46,1,1
47,1,1
48,1,1
49,1,1
50,0,1
51,0,1
52,0,0
53,0,0
54,0,1
55,0,0
56,0,0
57,0,1
58,1,0
59,0,1
60,1,0
61,1,1
62,0,0
63,1,1
64,0,0
65,1,1
66,1,1
67,0,0
68,1,1
69,0,0
70,1,0
71,1,1
72,1,1
73,0,0
74,0,0
75,0,0
76,1,1
77,0,1
78,0,0
79,0,1
80,0,0
81,0,1
82,0,0
83,0,1
84,1,0
85,1,1
86,0,0
87,0,0
88,0,1
89,0,0
90,0,0
91,1,1
92,1,0
93,1,1
94,1,1
95,0,0
96,1,1
97,0,0
98,1,1
99,1,1
100,1,0
101,1,1
102,1,1
103,0,0
104,0,1
105,1,1
106,0,0
107,1,1
108,0,1
109,0,1
110,0,0
111,0,0
112,1,1
113,0,0
114,0,0
115,0,0
116,1,0
117,1,1
118,0,0
119,0,0
120,0,1
121,1,1
122,0,0
123,1,0
124,0,0
125,1,1
126,0,0
127,0,1
128,1,1
129,1,1
130,0,0
131,0,1
132,0,1
133,0,1
134,1,1
135,1,1
136,0,0
137,1,1
138,0,0
139,0,1
140,0,1
141,1,1
142,0,0
143,1,1
144,1,1
145,0,0
146,1,1
147,0,1
148,0,0
149,1,1
150,0,0
151,1,1
152,1,1
153,1,1
154,1,1
155,1,0
156,1,1
157,1,1
158,0,1
159,1,1
160,1,1
161,0,0
162,1,1
163,0,0
164,0,0
165,1,0
166,0,0
167,1,0
168,1,0
169,1,0
170,1,1
171,1,1
172,0,0
173,1,1
174,0,1
175,1,1
176,1,1
177,1,1
178,0,0
179,0,1
180,0,0
181,0,0
182,0,0
183,1,1
184,1,0
185,1,1
186,0,1
187,0,1
188,1,0
189,0,1
190,0,1
191,1,1
192,1,1
193,1,0
194,0,0
195,1,0
196,1,1
197,1,0
198,0,0
199,1,0
200,0,0
201,1,1
202,1,0
203,0,1
