"State.Id","Year","Vaping.Ban","Lung.Hospitalizations"
1,2010,0,111571
2,2010,0,110415
3,2010,0,111372
4,2010,0,110704
5,2010,0,111991
6,2010,0,111031
7,2010,0,110507
8,2010,0,110693
9,2010,0,111651
10,2010,0,111492
11,2010,0,112041
12,2010,0,110904
13,2010,0,111027
14,2010,0,111960
15,2010,0,112943
16,2010,0,112109
17,2010,0,112826
18,2010,0,112116
19,2010,0,112867
20,2010,0,111002
21,2010,0,112686
22,2010,0,112458
23,2010,0,113945
24,2010,0,112655
25,2010,0,113788
26,2010,0,112569
27,2010,0,113843
28,2010,0,113237
29,2010,0,113915
30,2010,0,113215
31,2010,0,114234
32,2010,0,113888
33,2010,0,113599
34,2010,0,113732
35,2010,0,113716
36,2010,0,113896
37,2010,0,114616
38,2010,0,114290
39,2010,0,114478
40,2010,0,114145
41,2010,0,114549
42,2010,0,115090
43,2010,0,115038
44,2010,0,114373
45,2010,0,115162
46,2010,0,114732
47,2010,0,115035
48,2010,0,116028
49,2010,0,115382
50,2010,0,116025
1,2011,0,111594
2,2011,0,109765
3,2011,0,111930
4,2011,0,111066
5,2011,0,112148
6,2011,0,111395
7,2011,0,111250
8,2011,0,111604
9,2011,0,111502
10,2011,0,111749
11,2011,0,111560
12,2011,0,111947
13,2011,0,112698
14,2011,0,112203
15,2011,0,111544
16,2011,0,112401
17,2011,0,112735
18,2011,0,112293
19,2011,0,112352
20,2011,0,112496
21,2011,0,113106
22,2011,0,111797
23,2011,0,112427
24,2011,0,112671
25,2011,0,112909
26,2011,0,113093
27,2011,0,112884
28,2011,0,112004
29,2011,0,112977
30,2011,0,113667
31,2011,0,113606
32,2011,0,114054
33,2011,0,113202
34,2011,0,113687
35,2011,0,114099
36,2011,0,113248
37,2011,0,115757
38,2011,0,113735
39,2011,0,115043
40,2011,0,114060
41,2011,0,114744
42,2011,0,115906
43,2011,0,115560
44,2011,0,115233
45,2011,0,115028
46,2011,0,115352
47,2011,0,115447
48,2011,0,115931
49,2011,0,115084
50,2011,0,115184
1,2012,0,109955
2,2012,0,110411
3,2012,0,111123
4,2012,0,112421
5,2012,0,110986
6,2012,0,109795
7,2012,0,111204
8,2012,0,111115
9,2012,0,112356
10,2012,0,111929
11,2012,0,111677
12,2012,0,111773
13,2012,0,112351
14,2012,0,111710
15,2012,0,112344
16,2012,0,112029
17,2012,0,111464
18,2012,0,113458
19,2012,0,112358
20,2012,0,112533
21,2012,0,112347
22,2012,0,112656
23,2012,0,113007
24,2012,0,113022
25,2012,0,113258
26,2012,0,112525
27,2012,0,114535
28,2012,0,112755
29,2012,0,113330
30,2012,0,113063
31,2012,0,114384
32,2012,0,114005
33,2012,0,113740
34,2012,0,114512
35,2012,0,113542
36,2012,0,113501
37,2012,0,113892
38,2012,0,113978
39,2012,0,114407
40,2012,0,114737
41,2012,0,114585
42,2012,0,114776
43,2012,0,114904
44,2012,0,114839
45,2012,0,114693
46,2012,0,115085
47,2012,0,116115
48,2012,0,114840
49,2012,0,115699
50,2012,0,115874
1,2013,0,110817
2,2013,0,110387
3,2013,0,110731
4,2013,0,110608
5,2013,0,111002
6,2013,0,111750
7,2013,0,112754
8,2013,0,111909
9,2013,0,110912
10,2013,0,111792
11,2013,0,111403
12,2013,0,112267
13,2013,0,111389
14,2013,0,111766
15,2013,0,111925
16,2013,0,111638
17,2013,0,112911
18,2013,0,112438
19,2013,0,112531
20,2013,0,112320
21,2013,0,112919
22,2013,0,112902
23,2013,0,112414
24,2013,0,113110
25,2013,0,113107
26,2013,0,114260
27,2013,0,112863
28,2013,0,114272
29,2013,0,114027
30,2013,0,114604
31,2013,0,113686
32,2013,0,114044
33,2013,0,113881
34,2013,0,113918
35,2013,0,114862
36,2013,0,114494
37,2013,0,113470
38,2013,0,114649
39,2013,0,114812
40,2013,0,114120
41,2013,0,114624
42,2013,0,114966
43,2013,0,114813
44,2013,0,114601
45,2013,0,114634
46,2013,0,115842
47,2013,0,115542
48,2013,0,115086
49,2013,0,114988
50,2013,0,116081
1,2014,0,110915
2,2014,0,110602
3,2014,0,110255
4,2014,0,109671
5,2014,0,111498
6,2014,0,111096
7,2014,0,112181
8,2014,0,111322
9,2014,0,111545
10,2014,0,111772
11,2014,0,112353
12,2014,0,111818
13,2014,0,112322
14,2014,0,112723
15,2014,0,112850
16,2014,0,112446
17,2014,0,112245
18,2014,0,113701
19,2014,0,113329
20,2014,0,113254
21,2014,0,113156
22,2014,0,111599
23,2014,0,113169
24,2014,0,112924
25,2014,0,114195
26,2014,0,113431
27,2014,0,113633
28,2014,0,113507
29,2014,0,114027
30,2014,0,113593
31,2014,0,114204
32,2014,0,113569
33,2014,0,113729
34,2014,0,113648
35,2014,0,114593
36,2014,0,114545
37,2014,0,114147
38,2014,0,114097
39,2014,0,114696
40,2014,0,114670
41,2014,0,114823
42,2014,0,114153
43,2014,0,115641
44,2014,0,115630
45,2014,0,114661
46,2014,0,115363
47,2014,0,115590
48,2014,0,115690
49,2014,0,115229
50,2014,0,115983
1,2015,0,110875
2,2015,0,110513
3,2015,0,111038
4,2015,0,111303
5,2015,0,111291
6,2015,0,111359
7,2015,0,110848
8,2015,0,110626
9,2015,0,112603
10,2015,0,111694
11,2015,0,111439
12,2015,0,112077
13,2015,0,112511
14,2015,0,112735
15,2015,0,111994
16,2015,0,112526
17,2015,0,113318
18,2015,0,112756
19,2015,0,112269
20,2015,0,112844
21,2015,0,113546
22,2015,0,112758
23,2015,0,112917
24,2015,0,113269
25,2015,0,112965
26,2015,0,112364
27,2015,0,113047
28,2015,0,113657
29,2015,0,113086
30,2015,0,114541
31,2015,0,114373
32,2015,0,114427
33,2015,0,113777
34,2015,0,113784
35,2015,0,114505
36,2015,0,114246
37,2015,0,115177
38,2015,0,114287
39,2015,0,114892
40,2015,0,114474
41,2015,0,115305
42,2015,0,114909
43,2015,0,114299
44,2015,0,115581
45,2015,0,114023
46,2015,0,115999
47,2015,0,115335
48,2015,0,115679
49,2015,0,115068
50,2015,0,115799
1,2016,0,111107
2,2016,0,111182
3,2016,0,111143
4,2016,0,110745
5,2016,0,111782
6,2016,0,111063
7,2016,0,110598
8,2016,0,112200
9,2016,0,112370
10,2016,0,111039
11,2016,0,112131
12,2016,0,111790
13,2016,0,112709
14,2016,0,112656
15,2016,0,113024
16,2016,0,112485
17,2016,0,112325
18,2016,0,113325
19,2016,0,111472
20,2016,0,112951
21,2016,0,113141
22,2016,0,112819
23,2016,0,113082
24,2016,0,113058
25,2016,0,112318
26,2016,0,114335
27,2016,0,112979
28,2016,0,113586
29,2016,0,113096
30,2016,0,113772
31,2016,0,113473
32,2016,0,114015
33,2016,0,114128
34,2016,0,114123
35,2016,0,115323
36,2016,0,114035
37,2016,0,114476
38,2016,0,114885
39,2016,0,114131
40,2016,0,115062
41,2016,0,114327
42,2016,0,114176
43,2016,0,115139
44,2016,0,115199
45,2016,0,115390
46,2016,0,115778
47,2016,0,115872
48,2016,0,115287
49,2016,0,114572
50,2016,0,115767
1,2017,0,110967
2,2017,0,110526
3,2017,0,111077
4,2017,0,111967
5,2017,0,111547
6,2017,0,111368
7,2017,0,111471
8,2017,0,110951
9,2017,0,112584
10,2017,0,111080
11,2017,0,112633
12,2017,0,112559
13,2017,0,111975
14,2017,0,111481
15,2017,0,112467
16,2017,0,112603
17,2017,0,111860
18,2017,0,113869
19,2017,0,112205
20,2017,0,112539
21,2017,0,114788
22,2017,0,112961
23,2017,0,112538
24,2017,0,113692
25,2017,0,112678
26,2017,0,113538
27,2017,0,114171
28,2017,0,113311
29,2017,0,113578
30,2017,0,113946
31,2017,0,114495
32,2017,0,114122
33,2017,0,115414
34,2017,0,115102
35,2017,0,113859
36,2017,0,114727
37,2017,0,114336
38,2017,0,115097
39,2017,0,115057
40,2017,0,115462
41,2017,0,114901
42,2017,0,115135
