"Defendant.Id","Republican.Judge","Severity.Of.Crime","Months.In.Jail","Recidivates"
1,1,3,0,0
2,1,2,16.7,0
3,1,3,0,0
4,1,3,57.2,0
5,0,3,45.8,0
6,0,3,41.8,0
7,0,2,12.2,0
8,1,3,54.8,1
9,1,3,0,0
10,0,2,7.7,0
11,0,2,14.1,0
12,0,2,0,0
13,0,2,11.5,0
14,0,2,13,0
15,1,3,49.2,0
16,0,1,4.5,0
17,0,1,0,0
18,1,1,1.5,0
19,1,2,19.2,1
20,1,1,0,0
21,0,2,14.8,0
22,1,2,26.8,0
23,1,2,14.5,0
24,1,3,56.3,1
25,0,1,0.6,1
26,1,3,41,1
27,1,3,0,0
28,0,2,11.2,0
29,0,3,43.3,1
30,1,3,40.9,0
31,0,3,45.5,0
32,0,1,3.5,0
33,0,3,0,0
34,1,3,45.8,1
35,0,2,11.4,0
36,0,1,4.7,0
37,1,1,5.6,0
38,1,1,0.1,0
39,1,1,2.6,0
40,1,2,34.2,1
41,0,3,44.8,0
42,1,1,0,0
43,1,1,0.5,1
44,0,1,0,0
45,0,3,49.3,0
46,0,3,0,0
47,1,2,0,0
48,0,2,8.1,0
49,1,1,3.1,0
50,0,3,55,1
51,1,1,4.2,0
52,1,1,4.7,0
53,1,1,2.7,1
54,0,2,8.2,0
55,0,1,1.8,1
56,1,1,4.7,0
57,0,1,4.6,0
58,0,2,15.5,0
59,1,2,19.8,0
60,1,3,45.7,0
61,1,3,38.3,1
62,0,1,0,0
63,1,2,25.3,1
64,0,3,56.2,1
65,0,2,0,0
66,1,3,51.8,1
67,0,1,1.8,0
68,1,2,21.2,1
69,0,2,9,0
70,1,2,0,0
71,1,2,18.6,1
72,1,3,0,0
73,1,1,2.7,0
74,0,1,2.9,1
75,1,1,0,0
76,0,3,0,1
77,0,3,42.7,1
78,0,3,59.8,1
79,0,2,6.1,0
80,1,1,3.3,0
81,0,2,0,0
82,1,3,51.3,0
83,1,2,0,0
84,0,3,57.9,0
85,1,1,3,0
86,0,2,11.3,0
87,0,2,10.9,0
88,0,3,0,1
89,1,2,22.9,1
90,1,1,0,0
91,1,2,15.7,0
92,0,3,0,0
93,1,2,21.9,1
94,1,2,13.4,0
95,0,1,5.1,0
96,0,3,39.8,1
97,1,2,0,0
98,0,2,14.8,0
99,0,3,58.1,1
100,1,3,0,1
101,0,1,0,1
102,0,3,40.5,0
103,1,1,0,0
104,1,3,47,0
105,1,3,52.4,1
106,0,1,1.7,0
107,0,1,0.9,0
108,0,3,0,1
109,0,3,43.4,0
110,1,2,27.1,1
111,0,3,57.5,0
112,1,3,37.8,1
113,1,3,48.5,1
114,1,2,27.4,1
115,1,1,0,0
116,0,2,11.9,0
117,1,3,52.8,0
118,0,3,43,0
119,1,2,33,1
120,1,2,25.1,1
121,0,2,10.9,1
122,0,1,0,0
123,1,3,59,0
124,1,3,44.3,0
125,0,2,0,0
126,0,1,4,0
127,0,3,0,0
128,1,3,0,0
129,0,1,3.3,0
130,0,3,58.9,1
131,1,3,39.9,0
132,1,1,0,0
133,0,2,8.5,0
134,1,2,18.3,1
135,0,2,10,0
136,0,3,51.9,0
137,1,3,44.5,0
138,1,1,0,0
139,0,2,12.1,0
140,0,2,0,0
141,1,3,40.9,1
142,0,2,14.1,1
143,1,3,57.3,0
144,0,1,1.2,0
145,0,1,2.8,0
146,0,2,14.1,1
147,1,3,0,1
148,1,2,13.3,0
149,1,3,46.8,1
150,1,1,0,1
151,0,2,17.9,1
152,0,2,7.1,0
153,0,1,5.2,0
154,1,1,5.2,0
155,0,3,45.9,1
156,1,1,0,0
157,0,1,5.2,1
158,0,3,36.4,0
159,0,2,13.1,0
160,1,1,5.4,1
161,0,3,36.9,1
162,0,3,37,0
163,0,1,0,0
164,0,2,13.6,0
165,0,2,15.4,0
166,1,1,0,0
167,0,1,0.7,0
168,0,3,36.2,1
169,0,2,0,0
170,0,3,54.3,1
171,1,1,1.7,1
172,0,2,0,0
173,0,2,7,0
174,1,3,58.9,0
175,1,1,2.2,0
176,1,3,0,0
177,0,3,54.2,0
178,1,1,0,0
179,0,3,49.3,0
180,0,2,15.3,0
181,0,1,2.4,0
182,0,2,7.3,0
183,0,1,5.4,0
184,1,3,0,1
185,0,1,5.8,0
186,0,1,0.2,0
187,0,2,0,0
188,1,2,26.1,1
189,0,2,11,1
190,1,1,5.7,0
191,0,1,5.6,0
192,0,1,3.7,0
193,0,3,45.2,1
194,1,1,0,0
195,0,1,2.6,0
196,1,3,47.9,0
197,1,2,32.3,1
198,1,1,4.9,0
199,1,2,0,0
200,0,2,8.5,0
201,1,2,24.7,1
202,0,3,56.1,0
203,1,3,0,0
204,0,2,0,0
205,1,3,56.4,1
206,0,2,9,0
207,0,2,10.5,0
208,0,1,3.3,0
209,1,1,0,0
210,1,1,5.2,0
211,1,1,0,0
212,0,3,48.6,0
213,1,1,2.2,0
214,0,3,55.2,1
215,0,1,3.6,0
216,1,2,32,1
217,1,2,30.7,1
218,1,3,55.7,1
219,1,1,1.6,0
220,0,2,0,0
221,1,2,31.4,1
222,0,1,0,0
223,0,1,3.2,0
224,1,2,0,0
225,1,1,3.1,1
226,1,2,30.9,1
227,1,1,1.5,0
228,0,1,0.8,0
229,1,3,56.7,1
230,0,2,8.3,0
231,0,3,48.7,0
232,0,1,1.9,0
233,0,1,3,0
234,0,3,57.2,1
235,0,3,0,1
236,1,2,17.6,0
237,1,2,0,0
238,0,3,43,1
239,0,3,50.1,0
240,0,3,45.6,1
241,0,2,11.9,0
242,0,2,15.5,0
243,1,1,0,0
244,1,2,17.2,1
245,1,3,0,0
246,1,2,0,0
247,1,1,5.7,0
248,0,3,47.9,0
249,1,3,56.1,0
250,0,2,8.7,0
251,0,3,36,1
252,1,3,54.3,1
253,0,2,14.4,0
254,1,2,19.5,1
255,1,1,0.6,0
256,0,1,1.3,0
257,1,2,23.7,1
258,0,1,3,0
259,1,2,0,0
260,1,1,2.5,1
261,1,2,0,0
262,0,3,44.8,0
263,1,3,46.4,0
264,0,2,12,0
265,1,2,14.8,0
266,1,1,0,0
267,1,3,0,0
268,0,2,11.9,0
269,0,3,38.3,1
270,1,2,22,1
271,1,2,28.6,1
272,1,2,21.1,1
273,1,2,20.5,1
274,0,3,52.2,1
275,0,1,0.9,0
276,0,3,0,1
277,1,1,4.3,0
278,1,1,0.8,0
279,1,1,4.8,0
280,0,1,0,0
281,0,2,17.9,0
282,1,2,34.9,1
283,1,3,54.4,0
284,1,2,19.7,1
285,0,1,2.3,0
286,0,2,13.2,0
287,0,2,7.6,0
288,0,3,0,1
289,1,3,57.8,1
290,0,2,14.2,0
291,0,3,42.4,1
292,1,2,14.1,1
293,0,3,0,1
294,1,3,59.7,0
295,1,1,0,0
296,0,2,16,0
297,1,2,29.2,1
298,0,3,0,0
299,1,3,50.1,1
300,0,1,2.9,0
301,0,2,8.9,0
302,0,3,50.6,1
303,1,2,21.4,1
304,1,1,0,0
305,1,2,12.8,1
306,0,1,0,0
307,0,2,17.4,0
308,0,1,0.2,1
309,0,1,5.5,0
310,0,3,38.2,0
311,0,2,6.2,0
312,1,1,2.2,0
313,1,1,5.1,1
314,1,1,0.3,0
315,1,1,3.3,0
316,1,2,12.7,0
317,1,2,29.2,1
318,0,3,51.7,1
319,1,2,0,0
320,1,1,2.3,0
321,0,2,17.7,0
322,0,3,48.8,1
323,1,3,37.9,1
324,0,3,40.9,0
325,0,2,7.3,0
326,0,2,17.4,0
327,1,3,0,0
328,1,1,1.3,0
329,0,3,56.6,0
330,1,3,54.3,0
331,1,1,4,0
332,0,2,0,0
333,0,1,4.1,1
334,1,3,44,0
335,1,1,0.7,1
336,0,1,4.8,0
337,1,3,55.2,0
338,0,1,5.3,0
339,1,3,42.6,0
340,1,2,0,0
341,0,3,0,0
342,1,1,0,0
343,0,2,0,0
344,1,1,0,0
345,0,1,3.6,0
346,1,2,29.1,1
347,1,2,15.7,0
348,0,3,40.9,1
349,0,1,3.2,0
350,1,3,48.9,1
351,0,2,7.5,0
352,1,3,0,1
353,1,2,14.1,0
354,0,3,36.9,0
355,0,2,6.3,0
356,0,1,4.9,0
357,0,3,53.6,0
358,1,1,0,1
359,1,1,0,0
360,0,3,0,1
361,0,3,48.6,1
362,0,1,1.2,1
363,1,1,3.7,1
364,1,1,3.2,0
365,1,3,0,0
366,1,3,0,1
367,0,1,3.5,0
368,0,1,2.6,1
369,0,2,6.6,0
370,0,1,3.7,0
371,0,1,3.3,0
372,1,3,0,0
373,0,3,0,1
374,1,2,24.9,1
375,0,1,3.5,0
376,1,2,25.6,1
377,1,3,40.6,0
378,0,1,4.2,0
379,0,1,3.6,0
380,0,2,17,0
381,1,3,43.8,1
382,1,1,0,0
383,1,1,0,0
384,0,3,54.4,1
385,1,1,0,0
386,0,1,0.8,0
387,0,3,0,1
388,0,1,1.8,0
389,1,2,0,0
390,1,2,24.6,1
391,0,2,14.8,0
392,0,2,9.1,0
393,0,1,3.9,0
394,0,1,4.4,0
395,0,1,3.5,0
396,0,3,44.7,1
397,0,1,5.9,0
398,1,1,4.4,0
399,1,1,5.9,0
400,0,3,52.5,0
401,0,2,0,0
402,1,3,56.5,1
403,1,2,19.3,0
404,0,2,17.2,1
405,0,2,0,0
406,1,3,50.1,0
407,0,2,9.2,0
408,1,1,4,0
409,1,3,39.2,1
410,0,1,2.6,0
411,1,2,19.4,1
412,1,2,19.8,1
413,1,1,3.7,0
414,1,3,52.3,1
415,0,2,12.7,0
416,1,1,5,1
417,0,2,13.3,0
418,0,1,1.5,1
419,0,2,16.7,1
420,0,2,17.5,1
421,1,2,0,0
422,0,3,41.1,0
423,0,2,6.1,0
424,0,3,50.2,0
425,0,1,5.8,0
426,0,2,11,0
427,0,2,12,0
428,0,2,7.2,0
429,0,1,5.8,0
430,1,3,44.7,1
431,0,2,6.5,0
432,1,1,0.1,0
433,1,2,22.8,1
434,1,2,34.1,1
435,0,1,0,0
436,0,2,11.1,0
437,0,2,7.1,0
438,0,3,55.3,0
439,0,2,0,0
440,0,2,6.8,0
441,1,1,5.5,0
442,1,1,4.4,0
443,0,2,10.7,0
444,0,3,57,0
445,1,3,39.7,1
446,0,1,4.7,0
447,0,2,0,0
448,0,1,0,0
449,1,3,0,0
